Country,Year,Life_Expectancy,Adult_Mortality,Infant_Mortality,Alcohol Consumption,Percentage_Expenditure,Hepatitis B,Measles,Under_Five_Deaths,Polio,Health_Expenditure,Diphtheria,HIV,GDP,population, thinness  10-19 years, thinness 5-9 years,Income composition of resources,Schooling
Italy,2005,81.023,65.05,3.79,8.65,77.4885788,96,87,4.47,97,8.33931828,95,0.17,32055.09208,57969484,0.5,0.5,0.851,10.2
Italy,2000,79.6072,75.39,4.73,9.78,72.63814545,94,74,5.57,97,7.56665516,87,0.18,20137.59122,56942108,0.5,0.5,0.823,9.73
Kazakhstan,2015,70.7265,192.5,10.57,3.33,63.14421844,98,99,11.86,98,3.04051137,98,0.25,10510.77032,17542806,2.4,2.5,0.793,11.69
Lithuania,2015,74.6103,165.4,3.97,14.2,66.08770752,94,94,4.88,93,6.49043989,93,0.17,14263.96458,2904910,2.6,2.6,0.846,12.44
Luxembourg,2015,81.8384,51.89,2.27,11.37,84.50590515,94,99,2.77,99,5.08113575,99,0.18,105462.0126,569604,1,0.9,0.896,11.41
Luxembourg,2010,80.5731,66.83,2.33,11.84,85.93012238,94,96,2.84,96,6.66263008,99,0.18,110885.9914,506953,0.9,0.9,0.884,11.33
Luxembourg,2005,79.4015,81.14,2.78,12.31,84.14559174,95,95,3.36,99,7.12328196,99,0.14,80988.13762,465158,1,0.9,0.874,10.59
Luxembourg,2000,77.8112,89.95,3.75,13.21,83.24607086,77,93,4.53,99,5.92533875,99,0.11,48659.59888,436300,1,1,0.848,9.92
Latvia,2015,74.6854,154.3,4.29,10.8,58.67530441,94,96,5.07,94,5.65211773,94,0.58,13786.4568,1977527,2.2,2.1,0.828,11.79
Netherlands,2015,81.4821,58.32,3.47,8.3,66.05368042,94,95,4.06,95,10.32393837,95,0.07,45193.40322,16939923,1,0.9,0.923,11.74
Portugal,2015,81.2093,76.52,2.97,10.34,61.66935349,98,98,3.65,98,9.31645775,98,0.22,19250.10654,10358076,0.7,0.5,0.841,9.14
Portugal,2010,80.035,86.04,3.06,11.26,66.51553345,97,96,3.81,97,10.03250504,98,0.29,22520.64231,10573100,0.7,0.5,0.812,8.71
Portugal,2005,78.3053,97.15,3.62,11.97,70.90158081,94,93,4.63,93,9.65306759,93,0.33,18780.12751,10503330,0.7,0.6,0.79,8.12
Portugal,2000,76.8304,109.6,5.53,12.77,69.73743439,58,87,7.2,96,8.60104179,96,0.39,11526.37207,10289898,0.8,0.6,0.777,8.41
Romania,2015,74.7901,135.9,7.72,9.45,77.94290924,90,86,9.22,89,4.94721603,89,0.08,8976.954489,19815616,2.5,2.7,0.798,11.07
Romania,2010,73.9959,154.7,10.55,10.01,79.89113617,98,95,12.39,94,5.76614285,94,0.08,8397.809173,20246871,3,3.2,0.797,11.24
Romania,2005,70.6095,162.3,15.58,9.63,79.77540588,98,97,18.27,97,5.52778196,97,0.07,4618.003508,21319685,3.3,3.8,0.745,10.89
Romania,2000,71.2823,175,18.01,9,79.25977325,98,98,21.45,99,4.20876169,99,0.07,1659.929049,22442971,4,4.3,0.703,10.7
Serbia,2015,75.8172,106.1,5.46,7.2,57.68479919,94,86,6.31,95,8.81319809,95,0.04,5588.979444,7095383,2,2,0.775,11.49
Serbia,2010,74.3753,115.1,6.57,8.87,61.00416946,89,95,7.59,91,9.52730083,91,0.04,5735.422857,7291436,2.2,2.3,0.755,11.52
Tajikistan,2015,69.3059,124.9,32.59,0.92,29.60548019,96,97,37.42,96,6.90735912,96,0.18,970.3625997,8524063,3.6,3.7,0.625,10.16
Ukraine,2015,73.4581,187.7,8.1,6.04,47.33811951,22,56,9.45,51,7.77607775,23,0.43,2124.662598,45154036,2.3,2.4,0.748,10.81
Bangladesh,2015,70.4913,133.1,30.96,0.01,17.09586334,98,97,37.97,98,2.72187114,98,0.01,1236.004392,157830000,17.9,18.3,0.575,6.76
Bangladesh,2010,68.6384,143.1,38.9,0,20.56865692,94,88,49.15,94,2.74091864,94,0.01,776.8595769,148391139,18.9,19.4,0.535,6.22
Bangladesh,2005,67.2992,154.5,49.35,0,21.87779617,45,88,64.54,94,2.44882679,93,0.01,492.8086489,140912590,19.9,2.5,0.499,5.51
Indonesia,2015,69.6989,177.6,23.22,0.08,39.59934235,84,87,27.68,85,2.92428517,84,0.25,3322.581679,259091970,1.4,1.2,0.686,8.5
Indonesia,2010,68.6793,187,27.94,0.08,23.68755341,83,78,33.85,82,2.7908783,81,0.35,3094.443079,244016173,1.6,1.5,0.656,8.02
Indonesia,2005,67.6492,189.1,33.62,0.06,28.91632652,65,77,41.66,79,2.53189397,72,0.37,1249.397694,228805144,1.9,1.9,0.629,6.68
Indonesia,2000,66.4334,187.3,41.03,0.06,29.66814041,65,76,52.23,72,1.85297656,75,0.11,770.8653516,214072421,11,11.2,0.597,5.41
Sri Lanka,2015,74.9275,131.1,7.52,2.72,43.95829391,99,99,8.78,99,3.88992047,99,0.02,3990.353117,21336697,15.1,15,0.764,10.09
Sri Lanka,2010,73.215,131.2,9.64,2.31,40.43683624,99,99,11.22,99,3.86745572,99,0.02,2836.974109,20668557,15.3,15.3,0.739,10.67
Sri Lanka,2005,72.1182,138.6,12.14,1.97,52.63922119,99,99,14.1,99,4.00972605,99,0.03,1240.518312,19673866,15.4,15.5,0.712,10.83
Myanmar,2015,65.5613,197.3,40.73,1.47,21.99240685,89,84,51.79,89,5.47780561,89,0.48,1159.340201,51483949,12.8,13,0.552,5.9
Myanmar,2010,63.3294,214.7,48.63,0.97,9.8407793,92,88,63.43,90,1.95585966,90,0.57,1003.033455,49390988,13.1,13.3,0.515,5.11
Myanmar,2005,61.5985,233,57.27,0.63,7.29122162,62,84,76.91,86,2.33031869,73,0.78,251.170357,47724471,13.2,13.6,0.465,4.45
Thailand,2015,77.7166,149,9.27,6.95,71.35247803,99,99,10.79,99,3.8522861,99,0.3,5708.794091,70294397,7.7,7.7,0.738,8.71
Thailand,2010,76.1313,161.2,11.67,6.19,73.77249908,98,98,13.56,99,3.39009809,99,0.41,4996.372098,68270489,8.2,8.3,0.711,8.47
Thailand,2005,73.8202,182.6,14.75,6.19,63.71009064,96,96,17.16,98,3.15972233,98,0.6,2876.245773,65821360,8.9,9.1,0.682,7.46
Thailand,2000,72.3156,203.6,18.7,5.81,55.18834305,95,94,21.95,97,3.10125351,97,1.03,2004.107059,63066603,9.4,9.7,0.64,6.09
Australia,2015,82.6552,62.17,3.27,9.68,71.03634644,93,95,3.87,93,10.18361282,93,0.08,56758.8692,23815995,0.6,0.6,0.937,12.92
Australia,2010,82.055,63.06,3.99,10.52,72.35727692,92,94,4.77,92,8.42325497,92,0.09,52147.02419,22031750,0.7,0.6,0.927,11.69
Australia,2005,81.1126,68.13,4.76,10.3,71.83748627,95,94,5.72,92,7.97402954,92,0.09,34479.76793,20176844,0.7,0.6,0.91,11.71
Fiji,2015,66.8436,188.1,20.72,2.63,63.11803055,99,97,24.48,99,3.32468939,99,0.2,5105.189612,917200,4,3.7,0.734,11.09
Fiji,2010,67.3276,199.9,20.11,2.42,63.89648819,98,96,23.72,98,3.41664124,99,0.15,3469.149643,905169,4,3.7,0.706,10.35
Fiji,2005,66.6325,214.5,19.76,2.03,74.21461487,99,90,23.27,97,3.25656676,96,0.07,3406.475592,874923,4.1,3.8,0.699,9.76
Fiji,2000,66.31,221.6,19.21,2.46,76.84042358,98,81,22.58,91,3.42441177,90,0.05,2015.857496,832509,4.3,4,0.681,9.97
Cambodia,2015,69.8725,174.3,27.28,3.34,21.70782852,91,85,31.75,90,6.19431591,91,0.16,1170.742816,15417523,1.9,1.9,0.558,5.32
Cambodia,2010,67.7123,196.3,37.39,2.16,19.73364639,91,90,43.95,90,6.91169977,90,0.24,782.6957386,14363532,11,11.3,0.519,4.94
Mongolia,2015,69.4977,212.9,16.62,8.35,56.92871475,99,98,19.43,99,4.23154545,99,0.02,3919.351213,2964749,2.2,2.3,0.733,9.77
Malaysia,2015,75.0942,125.6,6.98,0.55,53.20423126,99,93,8.16,99,3.82201481,99,0.23,9699.600463,31068833,7.5,7.3,0.787,11.49
Malaysia,2010,74.4423,131.5,6.96,0.52,53.05662537,96,95,8.14,96,3.16474271,96,0.28,8880.145805,28717731,8.2,8,0.764,10.89
Malaysia,2005,74.0959,138.1,7.02,0.49,48.89989853,96,96,8.21,96,2.78692698,96,0.36,5536.837483,25923536,9,8.8,0.734,10.16
Malaysia,2000,72.7755,145.1,8.72,0.56,46.65708542,97,96,10.16,98,2.51463366,98,0.46,4087.562593,22945150,9.8,9.6,0.715,9.49
New Zealand,2015,81.9765,66.68,4.58,8.68,74.69454193,92,93,5.5,92,9.28344345,92,0.06,38630.72659,4609400,0.4,0.3,0.913,10.91
New Zealand,2010,81.1019,70.84,5.16,9.62,78.27069092,90,91,6.23,93,9.59277534,93,0.07,33676.77412,4350700,0.3,0.3,0.899,11.12
New Zealand,2005,80.0572,77.39,5.48,9.32,76.9478302,87,82,6.63,89,8.27334881,89,0.06,27751.06547,4133900,0.3,0.3,0.886,12
New Zealand,2000,78.6782,86.12,6.09,8.83,74.48747253,90,85,7.39,82,7.4700222,90,0.04,13641.10272,3857700,0.3,0.3,0.864,11.98
Philippines,2015,71.2684,195,23.45,4.52,37.6732254,74,80,29.78,79,3.8982749,74,0.19,2974.296917,103031365,1,9.7,0.679,9.14
Philippines,2010,70.7542,203.1,24.81,4.73,31.90242386,88,87,31.76,88,4.13107872,88,0.1,2201.776828,94636700,1,9.7,0.662,8.65
Philippines,2005,70.2402,216.9,26.45,4.19,33.09892654,49,92,34.23,90,3.74253035,89,0.02,1245.286584,86261250,1,9.7,0.642,8.27
Philippines,2000,69.4134,212.9,28.7,4.72,44.39830017,7,78,37.71,74,3.05512357,78,0.01,1073.264436,77958223,1,9.6,0.618,7.96
Papua New Guinea,2015,64.7006,225.5,40.25,1.36,75.75406647,49,57,51.09,51,1.81881714,49,0.63,2502.073445,8682174,1.3,1.3,0.515,4.61
Singapore,2015,82.8265,53.56,2.22,1.82,47.07733917,96,95,2.74,96,4.18069839,96,0.13,55645.60686,5535002,2.2,2.2,0.924,12.54
Angola,2015,52.4,335,66,,0,64,118,98,7,,64,1.9,3695.793748,2785935,8.3,8.2,0.531,11.4
Angola,2014,51.7,348,67,8.33,23.965612,64,11699,101,68,3.31,64,2,479.31224,2692466,8.5,8.3,0.527,11.4
Angola,2013,51.1,355,69,8.1,35.95857279,77,8523,105,67,4.26,77,2.3,484.616884,2599834,8.6,8.5,0.523,11.4
Angola,2012,56,358,72,8.24,256.1225243,75,4458,110,75,3.3,75,2.6,4598.249988,259615,8.8,8.6,0.508,10.3
Angola,2011,51,361,75,8.06,239.8913921,72,1449,115,73,3.38,71,2.5,4299.12889,24218565,8.9,8.8,0.495,9.4
Angola,2010,49.6,365,78,7.8,191.6537407,77,1190,121,81,3.39,77,2.5,3529.53482,23369131,9.1,9,0.488,9
Angola,2009,49.1,369,81,7.01,212.9229325,61,2807,127,63,4.37,6,2.5,3347.84485,22549547,9.3,9.2,0.48,8.5
Angola,2008,48.7,371,84,7.07,249.9101958,69,265,133,65,3.84,69,2.6,3868.578883,2175942,9.5,9.4,0.468,8.1
Angola,2007,48.2,375,87,6.35,184.8213446,73,1014,138,75,3.38,73,2.6,2878.837144,2997687,9.6,9.6,0.454,7.7
Angola,2006,47.7,381,90,5.84,25.08688824,,765,143,36,4.54,34,2.5,262.415149,2262399,9.8,9.7,0.439,7.2
Angola,2005,47.4,382,92,5.04,98.19145117,,258,148,39,4.1,38,2.6,1443.991929,19552542,1,9.9,0.426,6.8
Angola,2004,47.1,386,94,3.53,8.8667775,,29,152,4,4.71,4,2.5,141.86844,18865716,1.2,1.1,0.415,6.4
Angola,2003,46.8,388,95,3.49,35.93349121,,1196,155,4,4.41,4,2.4,779.468356,1823369,1.4,1.3,0.406,5.9
Angola,2002,46.5,391,96,2.82,24.037942,,11945,157,37,3.63,41,2.3,711.181716,17572649,1.5,1.5,0.401,5.5
Angola,2001,45.7,44,97,2.58,30.35993647,,9046,159,41,5.38,38,2.1,526.168743,16983266,1.7,1.7,0.391,5.1
Angola,2000,45.3,48,97,1.85,15.88149254,,2219,160,3,2.79,28,2,555.2969419,1644924,1.9,1.9,0.382,4.6
Madagascar,2015,65.5,22,28,,0,69,3,38,71,,69,0.3,41.8575951,2423488,7.1,7.1,0.511,10.3
Madagascar,2014,65.1,225,29,0.01,5.339065673,73,3,39,73,3.4,73,0.3,452.4631926,2358981,7.2,7.1,0.509,10.3
Madagascar,2013,64.7,23,29,0.87,79.50882493,74,6,40,73,4.15,74,0.4,461.723722,22961146,7.3,7.2,0.508,10.3
Madagascar,2012,64.3,235,30,0.87,59.97914461,7,2,42,71,3.46,7,0.4,443.9611,22346573,7.4,7.3,0.506,10.2
Madagascar,2011,63.8,241,31,0.97,78.79967196,73,0,43,73,4.24,73,0.4,454.963464,21743949,7.5,7.4,0.504,10.2
Madagascar,2010,63.3,248,32,1.03,76.60442169,7,1,45,7,4.86,7,0.5,412.739341,2115164,7.6,7.5,0.503,10.2
Madagascar,2009,62.8,254,33,0.91,71.16601203,77,0,47,76,4.7,77,0.5,415.6893226,2569121,7.7,7.6,0.5,9.7
Madagascar,2008,62.3,259,34,0.68,6.448762615,77,3,49,77,4.5,77,0.5,47.733254,19996469,7.8,7.7,0.491,9.4
Madagascar,2007,61.9,261,35,0.71,55.43034455,84,0,51,83,4.98,84,0.6,377.8482928,19433523,7.9,7.8,0.483,9.1
Madagascar,2006,61.4,263,36,0.68,38.41870375,82,2,54,83,5.11,85,0.6,292.157443,1888268,8,7.9,0.478,9
Madagascar,2005,69,265,37,0.72,33.74786198,81,0,56,8,5.3,85,0.6,274.819723,18336724,8.1,8,0.473,8.9
Madagascar,2004,64,267,38,0.81,23.72796328,71,35558,58,74,4.89,78,0.6,245.1235876,1782997,8.2,8.1,0.466,8.7
Madagascar,2003,59.9,268,40,0.93,37.12894787,61,62233,60,65,4.81,66,0.7,316.7998965,17279141,8.3,8.3,0.457,8.5
Madagascar,2002,59.3,271,41,0.9,47.5262138,51,10795,63,61,5.29,62,0.7,262.2859481,16765117,8.5,8.4,0.462,8.3
Madagascar,2001,58.7,276,42,1.05,42.56331585,,9357,65,6,5.17,6,0.7,278.555732,1626932,8.6,8.5,0.456,8.2
Madagascar,2000,57.9,283,44,1.16,35.66125056,,35256,68,58,5.8,57,0.6,245.939659,1576686,8.7,8.6,0,8
Mozambique,2015,57.6,355,60,,0,8,79,81,8,,8,3.9,528.3125597,281691,3.6,3.5,0.414,9.1
Mozambique,2014,56.7,375,61,0.01,54.91159475,79,9,84,79,6.98,79,4.1,623.2871141,27212382,3.6,3.5,0.409,9.1
Mozambique,2013,55.3,46,62,1.16,5.813338496,78,8,87,78,5.9,78,5.1,65.985681,26434372,3.6,3.5,0.405,9.1
Mozambique,2012,54.8,48,64,1.19,49.90987221,76,145,90,73,5.58,76,6.9,566.513873,2567666,3.6,3.5,0.4,9.2
Mozambique,2011,54.3,47,66,0.94,40.80617976,76,177,94,73,6.23,76,9.6,526.5313517,249395,3.7,3.6,0.397,9.5
Mozambique,2010,54,47,69,0.96,5.743393664,74,2321,98,73,5.38,74,10.8,419.2258149,2422145,3.7,3.6,0.39,9.3
Mozambique,2009,53.8,4,70,1.18,39.75216936,74,60,101,74,5.43,74,11.3,463.852618,2352463,3.7,3.6,0.382,9.2
Mozambique,2008,53.2,45,72,1.48,0.796915785,75,4,104,74,4.91,75,12.6,53.127719,22846758,3.7,3.7,0.372,8.8
Mozambique,2007,52.1,425,74,1.03,53.9502789,75,267,108,75,5.25,75,14.1,422.1461573,22188387,3.8,3.7,0.36,8.2
Mozambique,2006,51.2,434,78,1.2,58.59644487,75,183,113,73,6.51,78,16.3,385.7567141,21547463,3.8,3.7,0.353,7.9
Mozambique,2005,58,434,80,1.23,67.33378735,75,12598,117,71,6.87,8,16.2,369.1545359,29237,3.9,3.8,0.341,7.3
Mozambique,2004,54,429,82,1.54,46.58195631,76,9396,120,69,5.91,83,15.9,336.3318145,231275,3.9,3.8,0.332,7
Mozambique,2003,51,424,85,1.68,42.52689559,76,28898,124,67,6.39,85,15.3,283.8911588,19716598,4,3.9,0.318,6.7
Mozambique,2002,49.8,416,87,2.16,40.82597077,76,7155,127,76,6.45,76,14.5,262.884551,19139658,4,4,0.311,6.2
Mozambique,2001,49.5,48,90,2.09,37.82511936,25,7085,132,72,5.64,73,13.4,256.4414872,18588758,4.1,4,0.298,5.8
Mozambique,2000,49,43,93,1.14,47.17250718,,7375,136,69,6.16,7,12.2,277.6486591,1867687,4.2,4.1,0.291,5.4
Seychelles,2015,73.2,168,0,,0,98,0,0,97,,97,0.1,1539.464,93419,5.7,6,0.781,14.1
Seychelles,2014,73,17,0,0.01,151.1045552,99,0,0,99,3.37,99,0.1,1557.77892,91359,5.7,6,0.766,13.2
Seychelles,2013,72.9,172,0,0.01,1521.672751,99,0,0,98,3.58,98,0.1,15687.34795,89949,5.7,6.1,0.762,13.5
Seychelles,2012,72.7,174,0,0.01,177.2633961,99,0,0,98,4.8,98,0.1,12845.17363,8833,5.7,6.1,0.755,13.5
Seychelles,2011,72.6,177,0,9.72,1121.475547,99,0,0,99,3.38,99,0.1,12189.9516,87441,5.7,6.1,0.744,13.3
Seychelles,2010,72.4,18,0,6.51,16.49232317,99,0,0,99,3.59,99,0.1,184.68447,8977,5.8,6.2,0.74,13.2
Seychelles,2009,72.3,182,0,4.94,75.2256582,99,0,0,99,2.64,99,0.1,976.9566,87298,5.8,6.2,0.739,13.2
Seychelles,2008,72.2,184,0,6.33,701.8526364,99,0,0,99,2.64,99,0.1,11122.8627,86956,5.9,6.3,0.739,13.2
Seychelles,2007,72.2,185,0,8.12,916.4741775,99,1,0,99,3.3,99,0.1,12154.82994,8533,5.9,6.3,0.733,13.1
Seychelles,2006,72.2,185,0,8.12,102.373909,99,10,0,99,3.73,99,0.1,1214.39987,846,5.9,6.3,0.728,13.1
Seychelles,2005,72.2,185,0,7.82,21.4653132,99,0,0,99,3.91,99,0.1,1192.5174,82858,6,6.4,0.712,12.1
Seychelles,2004,72.1,186,0,7.91,12.94324581,99,0,0,99,4.17,99,0.1,1176.65871,82475,6,6.4,0.715,12.3
Seychelles,2003,72.1,185,0,7.41,843.1186662,99,0,0,99,4.64,99,0.1,8524.961236,82781,6.1,6.5,0.713,12.1
Seychelles,2002,72.1,186,0,11.15,562.3601848,99,0,0,99,4.21,99,0.1,8331.261997,83723,6.1,6.6,0.712,12.1
Seychelles,2001,72,187,0,6.72,643.7035752,96,0,0,96,4.45,96,0.1,7663.1378,8122,6.2,6.6,0.714,12.2
Seychelles,2000,71.8,188,0,8.24,601.7608115,98,0,0,98,4.62,98,0.1,7578.85153,81131,6.3,6.7,0,12.3
Comoros,2015,63.5,227,1,,0,91,0,2,92,,91,0.8,727.6463868,777424,6.7,6.5,0.498,11.1
Comoros,2014,63.2,23,1,0.01,73.86584922,88,0,2,87,6.75,87,0.8,852.954379,759385,6.8,6.6,0.497,11.1
Comoros,2013,62.9,233,1,0.01,61.57443584,88,0,2,85,6.51,87,0.8,834.341949,7415,6.8,6.6,0.49,10.9
Comoros,2012,62.5,237,2,0.01,78.39008571,89,1,2,85,7.11,86,0.8,788.632653,723868,6.9,6.7,0.484,10.8
Comoros,2011,62.2,241,2,0.12,59.6596497,83,3,2,85,6.1,83,0.2,829.7586885,76569,7,6.8,0.479,10.6
Comoros,2010,61.8,246,2,0.15,47.30421873,74,0,2,82,5.82,74,0.1,769.1742883,689692,7.1,6.9,0.476,10.5
Comoros,2009,61.3,251,2,0.17,56.98952474,83,1,2,84,3.82,83,0.1,778.5454199,673252,7.2,7,0.465,10.3
Comoros,2008,61,255,2,0.12,93.36788979,81,0,2,81,5.13,81,0.1,795.97519,657229,7.2,7.1,0.461,10.2
Comoros,2007,66,259,2,0.16,9.087638194,75,0,2,75,4.93,75,0.1,72.759313,64162,7.3,7.2,0.459,10
Comoros,2006,63,262,2,0.25,77.0283958,69,85,2,69,4.57,69,0.1,648.38717,626425,7.4,7.3,0.451,9.9
Comoros,2005,60,266,2,0.24,69.9675435,68,912,2,67,4.32,68,0.1,621.93372,611627,7.5,7.4,0.434,9.7
Comoros,2004,59.8,269,2,0.27,7.212110766,77,0,2,73,3.96,76,0.1,616.4197236,597228,7.5,7.5,0,9.5
Comoros,2003,59.6,271,2,0.26,45.09010835,28,0,2,8,3.65,8,0.1,544.566526,583211,7.6,7.6,0,9.2
Comoros,2002,59.5,271,2,0.08,29.41897495,,0,2,98,3.39,89,0.1,433.2691451,569479,7.7,7.7,0,8.8
Comoros,2001,59.5,272,1,0.08,19.71741043,,0,2,7,2.86,7,0.1,395.9319363,555888,7.8,7.8,0,8.5
Comoros,2000,59.5,272,1,0.09,35.02948624,,0,2,7,3.56,7,0.1,375.8528566,542357,7.9,7.9,0,8.2
Swaziland,2015,58.9,373,2,,0,9,0,3,84,,9,7.1,3136.92511,131911,4,4.1,0.541,11.4
Swaziland,2014,58.4,382,2,0.01,574.3895102,98,0,3,98,9.25,98,7.3,3464.35169,129597,4.3,4.3,0.541,11.4
Swaziland,2013,57.6,393,2,0.01,708.9556648,98,0,3,98,9.66,98,9.8,3598.75972,1271456,4.5,4.6,0.539,11.4
Swaziland,2012,56.5,412,2,0.01,720.2333929,95,0,3,92,8.76,95,12.2,3851.51547,1248158,4.8,4.9,0.534,11.3
Swaziland,2011,55,438,2,5.2,735.7090978,91,0,3,85,8.61,91,15.7,3934.27325,1225258,5.1,5.2,0.526,11.2
Swaziland,2010,53.6,459,2,4.93,56.93670561,89,313,4,89,8.47,89,21.6,369.239336,122843,5.4,5.6,0.523,11
Swaziland,2009,52.6,46,3,4.9,47.6164523,88,26,4,89,8.46,88,33.7,332.517125,118675,5.8,5.9,0.519,10.8
Swaziland,2008,51.4,477,3,4.87,413.0063027,9,1,4,89,8.19,88,40.2,2842.438422,1158897,6.1,6.3,0.514,10.6
Swaziland,2007,50,51,3,5.55,43.3664999,92,0,4,88,7.5,87,40.7,347.48798,1138434,6.5,6.7,0.508,10.5
Swaziland,2006,47.8,564,3,5.53,437.0802438,93,0,4,88,6.81,87,43.7,2937.36723,112514,6.9,7.1,0.502,9.9
Swaziland,2005,46,63,3,5.08,372.1651473,95,0,4,88,6.8,86,49.1,2873.862141,115873,7.3,7.5,0.495,9.7
Swaziland,2004,45.6,69,3,5.78,37.43857664,93,0,4,88,5.88,86,50.3,2529.633557,19553,7.7,7.9,0.492,9.4
Swaziland,2003,45.9,6,3,5.65,2.819124474,9,350,4,87,5.71,85,50.6,22.99449,187392,8.2,8.4,0.493,9.1
Swaziland,2002,46.4,587,3,5.52,131.0421269,88,37,4,87,5.16,85,49.9,1324.996228,1893,8.6,8.8,0.502,9.2
Swaziland,2001,47.1,568,3,6.72,143.6197316,86,49,4,87,5.11,84,48.8,1437.634951,172927,9,9.2,0.506,9.3
Swaziland,2000,48.4,536,3,7.19,25.21683318,83,10,4,87,5.26,84,46.4,1637.4567,161468,9.4,9.6,0.516,9.4
